postnummer	poststed	kommunekode	kommune	kategori
0001	OSLO	0301	OSLO	B
0010	OSLO	0301	OSLO	B
0015	OSLO	0301	OSLO	B
0018	OSLO	0301	OSLO	B
0021	OSLO	0301	OSLO	G
0024	OSLO	0301	OSLO	B
0026	OSLO	0301	OSLO	B
0028	OSLO	0301	OSLO	B
0030	OSLO	0301	OSLO	B
0031	OSLO	0301	OSLO	G
0032	OSLO	0301	OSLO	B
0033	OSLO	0301	OSLO	B
0034	OSLO	0301	OSLO	B
0037	OSLO	0301	OSLO	B
0050	OSLO	0301	OSLO	G
0055	OSLO	0301	OSLO	B
0080	OSLO	0301	OSLO	B
0101	OSLO	0301	OSLO	B
0102	OSLO	0301	OSLO	B
0103	OSLO	0301	OSLO	G
0104	OSLO	0301	OSLO	G
0105	OSLO	0301	OSLO	G
0106	OSLO	0301	OSLO	G
0107	OSLO	0301	OSLO	G
0150	OSLO	0301	OSLO	G
0151	OSLO	0301	OSLO	G
0152	OSLO	0301	OSLO	G
0153	OSLO	0301	OSLO	G
0154	OSLO	0301	OSLO	G
0155	OSLO	0301	OSLO	G
0157	OSLO	0301	OSLO	G
0158	OSLO	0301	OSLO	G
0159	OSLO	0301	OSLO	G
0160	OSLO	0301	OSLO	G
0161	OSLO	0301	OSLO	G
0162	OSLO	0301	OSLO	G
0164	OSLO	0301	OSLO	G
0165	OSLO	0301	OSLO	G
0166	OSLO	0301	OSLO	G
0167	OSLO	0301	OSLO	G
0168	OSLO	0301	OSLO	G
0170	OSLO	0301	OSLO	G
0171	OSLO	0301	OSLO	G
0172	OSLO	0301	OSLO	G
0173	OSLO	0301	OSLO	G
0174	OSLO	0301	OSLO	G
0175	OSLO	0301	OSLO	G
0176	OSLO	0301	OSLO	G
0177	OSLO	0301	OSLO	G
0178	OSLO	0301	OSLO	G
0179	OSLO	0301	OSLO	G
0180	OSLO	0301	OSLO	G
0181	OSLO	0301	OSLO	G
0182	OSLO	0301	OSLO	G
0183	OSLO	0301	OSLO	G
0184	OSLO	0301	OSLO	G
0185	OSLO	0301	OSLO	G
0186	OSLO	0301	OSLO	G
0187	OSLO	0301	OSLO	G
0188	OSLO	0301	OSLO	G
0190	OSLO	0301	OSLO	G
0191	OSLO	0301	OSLO	G
4001	STAVANGER	1103	STAVANGER	B
4002	STAVANGER	1103	STAVANGER	B
4003	STAVANGER	1103	STAVANGER	G
4004	STAVANGER	1103	STAVANGER	G
4005	STAVANGER	1103	STAVANGER	G
4006	STAVANGER	1103	STAVANGER	G
4007	STAVANGER	1103	STAVANGER	G
4008	STAVANGER	1103	STAVANGER	G
4009	STAVANGER	1103	STAVANGER	G
4010	STAVANGER	1103	STAVANGER	G
4011	STAVANGER	1103	STAVANGER	G
4012	STAVANGER	1103	STAVANGER	G
4013	STAVANGER	1103	STAVANGER	G
4014	STAVANGER	1103	STAVANGER	G
4015	STAVANGER	1103	STAVANGER	G
4016	STAVANGER	1103	STAVANGER	G
4017	STAVANGER	1103	STAVANGER	G
