Tidsmerke	How many years of professional software development experience do you have?	What is your primary role today?	Which AI coding tools do you currently use? (e.g. Cursor, Claude Code, GitHub Copilot, ChatGPT, Gemini, Grok, Windsurf …)	Which AI models do you primarily use? (e.g. GPT-5.x thinking/instant, Claude Opus 4.6, Claude Sonnet 4.6, Gemini 3.x, DeepSeek, Qwen, Kimi …)	Where and how do you primarily use AI tools? (select all that apply)	Do you use AI agents that can execute multiple steps autonomously (e.g. Cursor agent mode, Claude Code, Devin)?	How long have you been using AI coding tools?	Briefly describe what the task involved.	Which prompting techniques or context strategies did you use?	How much did you need to modify or correct the code AI generated for this task?	What did AI do well on in this task?	What did AI do poorly on in this task?	How suitable was AI for this type of task?	Did you experience AI generating code with bugs, security issues, or unexpected behaviour? Please describe if so.	How did you validate AI-generated code before accepting it on this task?	Which types of tasks do you prefer to do without AI assistance? Why?	Which types of tasks do you prefer to do with AI assistance? Why?	How do you approach using AI when working in a domain, codebase, or library that is less well-known or specific to your organisation? What challenges, if any, have you encountered?	How do you validate AI-generated code before accepting it?	Do you trust AI for security-critical parts of the code?	When using AI tools that can act autonomously on your codebase (e.g. Claude Code, Cursor agent, Cline), how much freedom do you allow the AI to operate without your explicit approval?	If you use autonomous AI agent. Which of the following has an autonomous AI agent done in your environment without you explicitly intending it? (select all that have happened to you)	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Scaffolding / boilerplate code]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Integrating with existing or legacy code]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Writing unit tests]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [High-level architecture / system design]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Setting up GitHub Actions / CI pipelines]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Repetitive / tedious tasks]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Business logic / domain-specific knowledge]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [General debugging (not just simple fixes)]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Writing / updating documentation]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Performance optimisation]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Brainstorming / conceptualisation]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Security-critical code]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Explaining or analysing code and error messages]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Infrastructure as code (Terraform, Ansible, etc.)]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Simple debugging / simple fixes]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Using unknown or private dependencies]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Code review]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Writing helper functions / utilities]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Troubleshooting in production environments]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Complex logic / heavily logical tasks]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Prototyping / small projects]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Kubernetes configuration]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Refactoring (simple)]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Vague or open-ended tasks without a clear plan]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Writing implementation plans / feature plans]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Writing Dockerfiles]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Choosing technologies / frameworks / libraries]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Refactoring (complex) / architectural improvements]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Database design and administration]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Tasks you know very well yourself]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Monitoring / logging setup]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Version control / git operations]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Generating new code from scratch]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Handling many files simultaneously in the same task]	Based on your own experience, rate whether AI is suitable, unsuitable, or whether you have mixed / uncertain experience for each task type. Only answer rows where you have relevant experience. [Tasks requiring consistency across a long or multi-session conversation]	How has your use of AI tools changed over time — for example, have you become more cautious, more reliant, or shifted which tools or workflows you use?	Overall — how much positive impact have AI tools had on your productivity as a developer?	Is there anything you would like to add about your experience with AI tools that was not covered in the questions above?
13.03.2026 kl. 11.32.41	Under 2 years	Backend	Claude	opus, sonnet	Terminal / CLI (e.g. Claude Code, Aider, Warp), Browser / web-chat (e.g. ChatGPT, Claude.ai, Gemini)	Yes - regularly	Over 2 years	SIEM	Detailed instructions, Concrete examples, Step-by-step breakdown, File references / codebase context, Screenshots, User rules / CLAUDE.md / system prompt	8	helped me start	pushed me in wrong directions	3	many bugs. not familiar with the product at all. 	Read all generated code carefully, Manual testing / try it in practice, Depends on the criticality of the task	plan, real deapth understanding. buiseness logic. 	common things.	i am very carefull	Read all generated code carefully, Manual testing / try it in practice, Depends on the criticality of the task	Partially — I use AI but always check extra carefully	Low autonomy — I approve every individual file change or command	Modified or deleted files I did not expect it to touch, Made git commits or pushed code to a branch, Installed packages or changed dependencies, Accessed or modified environment variables or secrets, Run commands in production or a shared environment	Suitable	Unsuitable	Suitable	Unsuitable	Suitable	Suitable	Unsuitable	Mixed	Suitable	Mixed	Mixed	Mixed	Suitable	Mixed	Suitable	Unsuitable	Suitable	Suitable	Unsuitable	Unsuitable	Suitable	Suitable		Mixed	Suitable	Suitable	Suitable	Unsuitable	Suitable	Mixed	Suitable	Mixed	Suitable	Mixed	Mixed	more cautios, more reliant and sshifted from chatgpt to claude. still use copilot at work because of privacy	8	
21.03.2026 kl. 15.16.27	Over 10 years	Backend	Copilot, Claude code	Newest versions of gpt thinking in enterprise and claude opus for personal.	IDE / editor with inline suggestions (e.g. Cursor, GitHub Copilot, Windsurf), Terminal / CLI (e.g. Claude Code, Aider, Warp), Browser / web-chat (e.g. ChatGPT, Claude.ai, Gemini), Mobile app (e.g. ChatGPT app, Claude app)	yes - occasionally	Over 2 years	Creating a modell that should advice me in the stock market. 	Detailed instructions, Concrete examples, Step-by-step breakdown, File references / codebase context, User rules / CLAUDE.md / system prompt	6	It help me create the modell very fast. 	it did not create the modell as i wished, and it was hard to make it do exactly as i intended. Also it has not generated any profit.	6	i think syntax wise it is really good. But as mentioned did not do as i intended. 	Read all generated code carefully, Manual testing / try it in practice, Depends on the criticality of the task	All of the core financial logic and statistical modelling. AI has a dangerous tendency to generate code that looks correct and runs without errors but contains subtle mathematical or financial mistakes.	Good at generating a starting point. Usually in a okey starting direction.	This i have tried ,and the AI is terrible. 	Read all generated code carefully, Run tests, Manual testing / try it in practice, Ask a colleague for code review, Depends on the criticality of the task	No — I avoid AI for security-critical parts	Moderate autonomy — I review after each significant change before continuing	Modified or deleted files I did not expect it to touch, Made git commits or pushed code to a branch, Installed packages or changed dependencies, Accessed or modified environment variables or secrets, Run commands in production or a shared environment	Suitable	Mixed	Suitable	Unsuitable	Suitable	Suitable	Unsuitable	Mixed	Suitable	Mixed	Suitable	Unsuitable	Mixed	Mixed	Suitable	Unsuitable	Mixed	Suitable	Unsuitable	Unsuitable	Suitable	Mixed	Suitable	Unsuitable	Mixed	Suitable	Mixed	Unsuitable	Mixed	Mixed	Suitable	Suitable	Suitable	Unsuitable	Unsuitable	Starting trusting, got burned. Now i review more strict.	7	
22.03.2026 kl. 10.43.06	2-5 years	Fullstack	Gemini	Gemini 3.x	IDE / editor with inline suggestions (e.g. Cursor, GitHub Copilot, Windsurf)	No	Over 2 years	Creating arbitrage betting program	Detailed instructions	3	did well for the most part	did not do well on scraping of websites	7		Read all generated code carefully, Manual testing / try it in practice	difficult logic, because the ai will chase me down the rabit hole.	easy tasks, beacuse the ai is fast	Chasing me down the rabit hole	Read all generated code carefully, Run tests, Manual testing / try it in practice, Ask a colleague for code review	No — I avoid AI for security-critical parts	I do not use autonomous / agentic AI tools		Suitable	Unsuitable	Suitable	Suitable	Suitable	Suitable	Unsuitable	Mixed	Unsuitable	Suitable	Suitable	Mixed	Suitable		Suitable	Unsuitable	Mixed			Unsuitable	Suitable		Unsuitable					Unsuitable		Unsuitable			Suitable			now i review ALL code and i try to understand if the ai is on the correct path before looking at the code. 	3	
25.03.2026 kl. 13.40.12	2-5 years	Cyber Engineer	ChatGPT	GPT-5.4-pro	Browser / web-chat (e.g. ChatGPT, Claude.ai, Gemini)	I am not sure what this refers to	1-2 years	Made tools to automate compliance checks for device configs	Detailed instructions, Step-by-step breakdown, File references / codebase context	4	Regex	Forgot	9	Simple bugs that was easy to fix, but forgot specific	Read all generated code carefully, Run tests, Manual testing / try it in practice	Most things, there are exceptions such as regex / data filtering	regex / data filtering/formatting		Read all generated code carefully, Manual testing / try it in practice	Partially — I use AI but always check extra carefully	I do not use autonomous / agentic AI tools								Suitable	Mixed							Mixed		Mixed																			more cautious	8	
27.03.2026 kl. 09.38.19	2-5 years	Devops / Platform	Grok	Grok 4.2	Browser / web-chat (e.g. ChatGPT, Claude.ai, Gemini)	No	6-12 months	Converting Python script from using Oracle database to use MS SQL Server database	No particular technique	6	Do the conversion from Oracle connection to MS SQL Server	It made many changes to other parts of my code, which changed the functionality of the script	10	It removed conditions so that some code would execute when it should not, and wrote some code that caused exceptions/crash	Run tests, Manual testing / try it in practice	Make the structure of the program. To know that I fully understand the flow.	All type of actuall code writing - it saves time.	No particular difference	Read all generated code carefully, Run tests, Manual testing / try it in practice	Yes — I trust AI even for security-critical code	I do not use autonomous / agentic AI tools																																					Discovered that AI can change existing code for no good reason, so will watch that.	10	
27.03.2026 kl. 10.31.30	Over 10 years	Devops / Platform	Cursor, claude code, copilot	Claude sonnet/opus, gpt-5x 	IDE / editor with inline suggestions (e.g. Cursor, GitHub Copilot, Windsurf), Terminal / CLI (e.g. Claude Code, Aider, Warp)	Yes - regularly	Over 2 years	Wrote a Terraform module to provision a Kubernetes cluster with autoscaling node groups on AWS.	Detailed instructions, File references / codebase context, User rules / CLAUDE.md / system prompt	4	Boilerplate	IAM	8		Read all generated code carefully, Manual testing / try it in practice	Architecture and security	writing docs	I paste in relevant files as context and tell AI explicitly what it doesn't know. It still confidently hallucinates.	Read all generated code carefully, Manual testing / try it in practice	Partially — I use AI but always check extra carefully	Moderate autonomy — I review after each significant change before continuing	Modified or deleted files I did not expect it to touch, Installed packages or changed dependencies				Unsuitable																																	8	
27.03.2026 kl. 12.41.54	2-5 years	Fullstack	GitHub Copilot	Claude Sonnet 4.6	IDE / editor with inline suggestions (e.g. Cursor, GitHub Copilot, Windsurf), Browser / web-chat (e.g. ChatGPT, Claude.ai, Gemini)	yes - occasionally	Under 6 months	Creating a IOS and macOS app with dev-tools.	Step-by-step breakdown, No particular technique, Still in learning mode for AI, and the projects for now is not that complex.	5	Creating OK SwifUI, which is not my specialty and make a working copy fast.	Not only AI to blame, but since I did not use any techniques etc. And maybe bad task text, it was using valide but old patterns.	8		Manual testing / try it in practice, Depends on the criticality of the task, Reading code, for also learning since it Swift and SwiftUI is not my primary language.	Since my AI usage in coding is just in the beginning, I do not have any preference yet.	The first 60-80 % boilerplate code.		Manual testing / try it in practice, Depends on the criticality of the task	Partially — I use AI but always check extra carefully	Low autonomy — I approve every individual file change or command		Suitable		Suitable						Suitable		Suitable		Suitable		Suitable			Suitable			Suitable		Suitable			Suitable							Suitable			Since I just started to use it, I see that I use it more and more.	8	
27.03.2026 kl. 14.41.35	2-5 years	Fullstack	Cursor, Claude Code, GitHub Copilot, ChatGPT	GPT-5.x thinking/instant, Claude Opus 4.6, Claude Sonnet 4.6, Gemini 3.x	IDE / editor with inline suggestions (e.g. Cursor, GitHub Copilot, Windsurf), Browser / web-chat (e.g. ChatGPT, Claude.ai, Gemini)	Yes - regularly	6-12 months	Create a Sharepoint custom SPFx extension (React code that runs in sharepoint) button to trigger a http call to backend	Detailed instructions, Concrete examples, Step-by-step breakdown, Screenshots	3	Create the initial code and test procedures	Create the correct configuration that is required by sharepoint	8	Yes. Some Id numbers required to tag the button where set incorrectly	Run tests, Manual testing / try it in practice, Ask a colleague for code review	Deploying app to prod because its high risk. Implementation of the AI suggested things as I am afraid of it having too much control. Ourchistration, writing spec	Coding with testing as it does it lot more efficient.		Run tests, Manual testing / try it in practice, Trust AI without further checking	Partially — I use AI but always check extra carefully	Full autonomy — I let it read, write, and execute without reviewing each step	Modified or deleted files I did not expect it to touch, Installed packages or changed dependencies	Mixed	Suitable	Suitable	Mixed	Suitable	Suitable	Mixed	Suitable	Suitable	Mixed	Suitable	Mixed	Suitable	Suitable	Suitable	Suitable	Suitable	Suitable	Suitable	Suitable	Suitable		Suitable		Suitable				Mixed		Suitable	Suitable	Suitable	Suitable			8	
28.03.2026 kl. 12.05.41	6-10 years	Backend	Gemini	Gemini	Browser / web-chat (e.g. ChatGPT, Claude.ai, Gemini)	No	1-2 years	A game similar to "Run" 	Detailed instructions	8	created allot of code	created allot of code	3		Manual testing / try it in practice	most things	Documentation		Read all generated code carefully, Manual testing / try it in practice, Depends on the criticality of the task	No — I avoid AI for security-critical parts	I do not use autonomous / agentic AI tools		Suitable	Unsuitable		Unsuitable		Suitable	Unsuitable		Suitable			Unsuitable					Mixed			Unsuitable			Mixed														10	
29.03.2026 kl. 11.21.14	6-10 years	Fullstack	chatgpt	gpt5	Browser / web-chat (e.g. ChatGPT, Claude.ai, Gemini)	No	Over 2 years	Getting data from different sources	Detailed instructions	9	Regex 	Did not do what i wanted it to do. 	2		Read all generated code carefully, Manual testing / try it in practice, Depends on the criticality of the task	Really understanding the problem that i am solving. 	docs, regex, boring stuff... 	halucinations x100	Read all generated code carefully, Run tests, Manual testing / try it in practice, Trust AI without further checking, Depends on the criticality of the task	No — I avoid AI for security-critical parts	I do not use autonomous / agentic AI tools		Suitable	Unsuitable	Mixed	Unsuitable	Mixed	Suitable	Unsuitable	Mixed	Suitable	Mixed	Mixed	Mixed	Mixed	Unsuitable	Suitable	Unsuitable	Suitable	Suitable	Unsuitable	Unsuitable	Suitable	Suitable	Suitable	Suitable	Mixed	Suitable	Suitable			Mixed	Suitable		Suitable	Unsuitable	Mixed	i try to plan the session more. more detail in the start, then more specific as we craft the task	10	
